MSSV,HieuXe,SoLuong
21520938,Hyundai,135.5
21520938,Toyota,387.5
21522373,Honda,26.0
21522373,Hyundai,35.5
21522373,KIA,30.5
21522373,Mazda,35.5
21522373,Mitsubishi,22.5
21522373,Suzuki,33.0
21522373,Toyota,33.0
21522373,VinFast,25.0
21522499,Honda,26.0
21522499,Hyundai,35.5
21522499,KIA,30.5
21522499,Mazda,35.5
21522499,Mitsubishi,22.5
21522499,Suzuki,33.0
21522499,Toyota,33.0
21522499,VinFast,25.0
21522500,Honda,80.5
21522500,Hyundai,100.0
21522500,KIA,17.5
21522500,Mazda,18.0
21522500,Mitsubishi,24.0
21522500,Suzuki,83.5
21522500,Toyota,84.0
21522771,Honda,80.5
21522771,Hyundai,100.0
21522771,KIA,17.5
21522771,Mazda,18.0
21522771,Mitsubishi,24.0
21522771,Suzuki,83.5
21522771,Toyota,84.0
21522924,KIA,100.0
21522924,Mazda,99.0
21522924,Mitsubishi,100.0
21522924,Suzuki,98.0
21522924,Toyota,100.0
21522924,VinFast,99.0
2252014,Honda,1.0
22520195,Honda,333.33
22520195,Hyundai,370.33
22520195,KIA,356.33
22520195,Mazda,341.0
22520195,Mitsubishi,333.33
22520195,Suzuki,769.0
22520195,Toyota,739.33
22520195,VinFast,398.33
22520211,Honda,154.0
22520211,Hyundai,197.0
22520211,KIA,141.5
22520211,Mazda,99.5
22520211,Mitsubishi,91.0
22520211,Suzuki,96.5
22520211,Toyota,123.5
22520213,Honda,10.0
22520213,Hyundai,10.0
22520213,KIA,9.5
22520213,Mazda,10.0
22520213,Mitsubishi,10.0
22520213,Suzuki,10.0
22520213,Toyota,10.0
22520213,VinFast,10.0
22520223,Honda,10.0
22520223,Hyundai,10.0
22520223,KIA,9.5
22520223,Mazda,10.0
22520223,Mitsubishi,10.0
22520223,Suzuki,10.0
22520223,Toyota,10.0
22520223,VinFast,10.0
22520318,Honda,5.0
22520318,Hyundai,5.0
22520318,KIA,5.0
22520318,Mazda,5.0
22520318,Suzuki,15.0
22520318,VinFast,14.5
22520348,Honda,16.67
22520348,Hyundai,16.67
22520348,KIA,16.67
22520348,Mazda,16.67
22520348,Mitsubishi,16.67
22520348,Suzuki,16.67
22520348,Toyota,16.67
22520348,VinFast,16.33
22520394,Honda,193.5
22520394,Hyundai,126.5
22520394,KIA,188.5
22520394,Mazda,160.5
22520394,Mitsubishi,211.0
22520394,Suzuki,233.0
22520394,Toyota,183.0
22520394,VinFast,82.5
